TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26222RMFS8,2021-12-06,96.505,96.631,96.299,96.371,782931
SU26222RMFS8,2021-12-07,96.498,96.498,96.168,96.438,21301
SU26222RMFS8,2021-12-08,96.477,96.486,96.23,96.446,898986
SU26222RMFS8,2021-12-09,96.463,96.617,96.254,96.461,18763
SU26222RMFS8,2021-12-10,96.599,96.904,96.243,96.243,95523
SU26222RMFS8,2021-12-13,96.534,96.545,96.202,96.426,54499
SU26222RMFS8,2021-12-14,96.44,96.482,96.111,96.48,23707
SU26222RMFS8,2021-12-15,96.446,96.499,96.148,96.418,55426
SU26222RMFS8,2021-12-16,96.689,96.689,96.283,96.477,135336
SU26222RMFS8,2021-12-17,96.458,96.643,96.282,96.611,247863
SU26222RMFS8,2021-12-20,96.654,97.163,96.48,96.75,221852
SU26222RMFS8,2021-12-21,96.945,97.399,96.507,96.986,927860
SU26222RMFS8,2021-12-22,96.986,97.298,96.813,96.942,3124282
SU26222RMFS8,2021-12-23,97.265,97.751,97.05,97.38,2970706
SU26222RMFS8,2021-12-24,97.38,97.999,97.121,97.427,44301
SU26222RMFS8,2021-12-27,97.302,97.88,97.08,97.35,99318
SU26222RMFS8,2021-12-28,97.478,97.83,97.204,97.398,230814
SU26222RMFS8,2021-12-29,97.397,98.299,97.08,97.26,500178
SU26222RMFS8,2021-12-30,97.58,98.287,97.0,97.914,81709
SU26222RMFS8,2022-01-03,98.15,99.0,97.501,97.848,25188
SU26222RMFS8,2022-01-04,97.898,98.023,97.705,97.901,11912
SU26222RMFS8,2022-01-05,98.024,98.024,97.206,97.515,13559
SU26222RMFS8,2022-01-06,97.516,97.992,97.006,97.3,40205
SU26222RMFS8,2022-01-10,97.3,97.904,96.422,96.645,77325
SU26222RMFS8,2022-01-11,96.985,96.985,96.201,96.428,64918
SU26222RMFS8,2022-01-12,96.844,96.844,96.187,96.301,74906
SU26222RMFS8,2022-01-13,96.204,96.495,95.271,95.5,259459
SU26222RMFS8,2022-01-14,95.896,95.898,94.5,95.14,230197
SU26222RMFS8,2022-01-17,95.942,95.942,94.353,94.75,1148670
SU26222RMFS8,2022-01-18,94.74,95.114,94.25,94.62,921723
SU26222RMFS8,2022-01-19,94.322,95.01,94.322,94.962,139639
SU26222RMFS8,2022-01-20,95.586,95.899,94.68,94.786,593207
SU26222RMFS8,2022-01-21,95.495,95.839,94.3,94.556,123267
SU26222RMFS8,2022-01-24,94.325,95.495,93.71,93.996,1068716
SU26222RMFS8,2022-01-25,94.497,94.497,93.89,94.1,465573
SU26222RMFS8,2022-01-26,94.648,94.648,93.724,93.956,171792
SU26222RMFS8,2022-01-27,93.802,95.195,93.801,94.595,323110
SU26222RMFS8,2022-01-28,94.7,94.881,94.23,94.519,227473
SU26222RMFS8,2022-01-31,94.786,95.5,94.001,94.645,13829
SU26222RMFS8,2022-02-01,94.999,95.38,94.61,94.716,231416
SU26222RMFS8,2022-02-02,94.71,94.91,94.53,94.86,47420
SU26222RMFS8,2022-02-03,94.944,94.945,94.589,94.88,81542
SU26222RMFS8,2022-02-04,94.948,94.971,94.66,94.961,16591
SU26222RMFS8,2022-02-07,95.499,95.499,94.485,94.929,183494
SU26222RMFS8,2022-02-08,95.22,95.22,94.74,94.949,11428
SU26222RMFS8,2022-02-09,95.244,95.244,94.65,94.83,47206
SU26222RMFS8,2022-02-10,95.185,95.185,94.512,94.789,15734
SU26222RMFS8,2022-02-11,94.998,95.422,93.5,93.6,38086
SU26222RMFS8,2022-02-14,94.0,95.383,92.941,93.189,57157
SU26222RMFS8,2022-02-15,93.325,93.925,93.3,93.622,192030
SU26222RMFS8,2022-02-16,93.698,94.138,93.317,93.996,47999
SU26222RMFS8,2022-02-17,93.753,93.994,93.309,93.681,59433
SU26222RMFS8,2022-02-18,93.983,94.499,93.351,93.407,132477
SU26222RMFS8,2022-02-21,93.672,93.768,91.482,91.86,576628
SU26222RMFS8,2022-02-22,91.21,93.386,90.25,91.527,660276
SU26222RMFS8,2022-02-24,91.521,92.899,83.2,85.986,189144
SU26222RMFS8,2022-02-25,87.778,89.456,86.0,88.8,418326
SU26222RMFS8,2022-03-21,79.0,86.0,78.001,83.991,463822
SU26222RMFS8,2022-03-22,84.73,85.375,84.5,85.252,173730
SU26222RMFS8,2022-03-23,85.599,85.609,84.735,85.048,74407
SU26222RMFS8,2022-03-24,85.05,85.452,84.901,85.05,59265
SU26222RMFS8,2022-03-25,85.22,85.3,85.0,85.091,44299
SU26222RMFS8,2022-03-28,85.1,85.376,85.002,85.167,419209
SU26222RMFS8,2022-03-29,85.25,86.37,85.003,86.208,222972
SU26222RMFS8,2022-03-30,86.399,88.8,86.207,88.8,101176
SU26222RMFS8,2022-03-31,90.999,90.999,88.75,89.8,87863
